Заголовок,nomer_fonda,nomer_opisi,nomer_dela,document_type,document_id,last_name,first_name,middle_name,date_birth,place_birth,date_death,rank,warunit,cause_of_death,primary_burial,current_burial,conscription_location,primary_url,notes,Дата
Бульбулян Аревшат Армак.,,,,ЦАМО,551200161,Бульбулян,Аревшат,Армак.,,,20.03.1942,красноармеец,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200161,пропал без вести,2026-06-02
Авдющенко Митрофан Сем.,,,,ЦАМО,551200162,Авдющенко,Митрофан,Сем.,,,20.03.1942,красноармеец,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200162,пропал без вести,2026-06-02
Новорузов А. И.,,,,ЦАМО,551200174,Новорузов,А.,И.,,,13.03.1942,сержант,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200174,пропал без вести,2026-06-02
Билиментиков Тимофей Петрович,,,,ЦАМО,551200189,Билиментиков,Тимофей,Петрович,,,20.03.1942,красноармеец,СКФ 958 ап 398 сд,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551200189,пропал без вести,2026-06-02
Онищук Петр Феоктистович,,,,ЦАМО,551267153,Онищук,Петр,Феоктистович,,Одесская обл.,16.03.1942,лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267153,пропал без вести,2026-06-02
Сенченко Николай Федорович,,,,ЦАМО,551267154,Сенченко,Николай,Федорович,,Кировоградская обл.,16.03.1942,лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267154,пропал без вести,2026-06-02
Марчиладзе Михаил Давидович,,,,ЦАМО,551267157,Марчиладзе,Михаил,Давидович,,Грузинская ССР,19.03.1942,мл. лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267157,пропал без вести,2026-06-02
Филатов Степан Иванович,,,,ЦАМО,551267158,Филатов,Степан,Иванович,,Алма-Атинская обл.,18.03.1942,лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267158,пропал без вести,2026-06-02
Штыхко Андрей Александрович,,,,ЦАМО,551267161,Штыхко,Андрей,Александрович,,Орджоникидзевский край,14.03.1942,мл. лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267161,пропал без вести,2026-06-02
Холоднов Иван Константинович,,,,ЦАМО,551267162,Холоднов,Иван,Константинович,,Запорожская обл.,14.03.1942,лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267162,пропал без вести,2026-06-02
Симонидзе Давид Александрович,,,,ЦАМО,551267165,Симонидзе,Давид,Александрович,,Грузинская ССР,20.03.1942,мл. лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267165,пропал без вести,2026-06-02
Арутюнян Леон Николаевич,,,,ЦАМО,551267166,Арутюнян,Леон,Николаевич,,Азербайджанская ССР,15.03.1942,мл. лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267166,пропал без вести,2026-06-02
Филонов Павел Владимирович,,,,ЦАМО,551267169,Филонов,Павел,Владимирович,,Одесская обл.,15.03.1942,лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267169,пропал без вести,2026-06-02
Папазян Амаяк Петросович,,,,ЦАМО,551267170,Папазян,Амаяк,Петросович,,Абхазская АССР,17.03.1942,мл. политрук,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267170,пропал без вести,2026-06-02
Кожевников Владимир Иванович,,,,ЦАМО,551267173,Кожевников,Владимир,Иванович,,Одесская обл.,18.03.1942,мл. лейтенант,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267173,пропал без вести,2026-06-02
Солорай Аким Федорович,,,,ЦАМО,551267174,Солорай,Аким,Федорович,,"Украинская ССР, Николаевская обл.",17.03.1942,политрук,скф 398 сд 824 сп,пропал без вести,,,,https://obd-memorial.ru/html/info.htm?id=551267174,пропал без вести,2026-06-02
